,shcode,target_day,upcode,upname,tmcode,tmname,shname,target_m,next_target_day,shcode2,y,init_jupo,end_jupo,init_month,end_month,init_week,end_week,check_init_day2
166,004310,20190821,9.0,의   약  품,377.0,치매 관련주,현대약품,201908,20190325,004380,0,20180901,20190821,20180831,20190731,20190125,20190816,20190811
167,004380,20190325,12.0,기       계,392.0,스마트팩토리(스마트공장),삼익THK,201903,20190214,004410,0,20180401,20190325,20180331,20190228,20180831,20190322,20190315
168,004410,20190214,5.0,음 식 료 업,113.0,음식료업종,서울식품,201902,20190703,004430,0,20180301,20190214,20180228,20190131,20180720,20190208,20190204
169,004430,20190703,8.0,화       학,422.0,日 수출 규제 관련주(국산화 등),송원산업,201907,20190807,004540,0,20180801,20190703,20180731,20190630,20181207,20190628,20190623
170,004540,20190807,7.0,종 이 목 재,421.0,日 불매운동 관련주,깨끗한나라,201908,20190813,004710,0,20180901,20190807,20180831,20190731,20190111,20190802,20190728
171,004710,20190813,13.0,전 기 전 자,393.0,갤럭시 부품주,한솔테크닉스,201908,20191126,004710,0,20180901,20190813,20180831,20190731,20190118,20190809,20190803
172,004710,20191126,13.0,전 기 전 자,393.0,갤럭시 부품주,한솔테크닉스,201911,20190104,004720,0,20181201,20191126,20181130,20191031,20190503,20191122,20191116
173,004720,20190104,9.0,의   약  품,172.0,제약업체,우리들제약,201901,20190201,004770,0,20180201,20190104,20180131,20181231,20180608,20181228,20181225
174,004770,20190201,13.0,전 기 전 자,,,써니전자,201902,20190522,004770,0,20180201,20190201,20180228,20190131,20180706,20190125,20190122
175,004770,20190522,13.0,전 기 전 자,,,써니전자,201905,20190909,004770,0,20180601,20190522,20180531,20190430,20181026,20190517,20190512
176,004770,20190909,13.0,전 기 전 자,,,써니전자,201909,20190628,004830,0,20181001,20190909,20180930,20190831,20190215,20190906,20190830
177,004830,20190628,8.0,화       학,,,덕성,201906,20190704,004830,1,20180701,20190628,20180630,20190531,20181130,20190621,20190618
178,004830,20190704,8.0,화       학,,,덕성,201907,20190708,004830,1,20180801,20190704,20180731,20190630,20181207,20190628,20190624
179,004830,20190708,8.0,화       학,,,덕성,201907,20190821,004870,0,20180801,20190708,20180731,20190630,20181214,20190705,20190628
180,004870,20190821,13.0,전 기 전 자,166.0,항공/저가 항공사(LCC),티웨이홀딩스,201908,20190822,004870,1,20180901,20190821,20180831,20190731,20190125,20190816,20190811
181,004870,20190822,13.0,전 기 전 자,166.0,항공/저가 항공사(LCC),티웨이홀딩스,201908,20190904,004870,1,20180901,20190822,20180831,20190731,20190125,20190816,20190812
182,004870,20190904,13.0,전 기 전 자,166.0,항공/저가 항공사(LCC),티웨이홀딩스,201909,20190130,004980,0,20181001,20190904,20180930,20190831,20190208,20190830,20190825
