,shcode,date,max_vol,max_jupo,contin_jupo,samo_vol_ratio,sec_vol_ratio,ins_vol_ratio,tusin_vol_ratio,bank_vol_ratio,jong_vol_ratio,fund_vol_ratio,etcom_vol_ratio,for_reg_vol_ratio,for_noreg_vol_ratio,nat_no_vol_ratio,per_vol_ratio,com_vol_ratio,for_vol_ratio,etc_vol_ratio
231,036120,20190515,0.0268836338028169,for_reg_vol,1,0.0,5.63943661971831e-05,0.0,0.0,0.0,0.0,-0.00028169014084507044,-0.0032368732394366198,0.0268836338028169,-0.00010490140845070423,0.0,-0.02331656338028169,-0.00022529577464788732,0.026778732394366195,-0.0032368732394366198
240,036120,20190625,0.002959661971830986,per_vol,1,2.5464788732394367e-05,3.090140845070422e-05,0.0,-8.225352112676056e-06,0.0,0.0,-0.00028169014084507044,-0.003100845070422535,8.236619718309859e-05,0.0002923661971830986,0.0,0.002959661971830986,-0.00023354929577464788,0.00037473239436619716,-0.003100845070422535
242,036120,20191028,0.007556760563380282,per_vol,1,2.5464788732394367e-05,-1.7211267605633804e-05,0.0,-8.225352112676056e-06,0.0,2.816901408450704e-08,-0.00028169014084507044,-0.001025887323943662,-0.006094084507042253,-0.0001551549295774648,0.0,0.007556760563380282,-0.0002816338028169014,-0.006249239436619718,-0.001025887323943662
246,036120,20191101,0.010721633802816901,per_vol,1,2.5464788732394367e-05,-1.4394366197183098e-05,0.0,-8.225352112676056e-06,0.0,2.816901408450704e-08,-0.00028169014084507044,-0.002639352112676056,-0.007488591549295775,-0.0003148732394366197,0.0,0.010721633802816901,-0.0002788169014084507,-0.007803464788732394,-0.002639352112676056
232,036170,20191014,0.022991214358863796,per_vol,0,-0.001083652239529995,-4.9264269929391476e-05,0.0,-1.3474909718104888e-05,0.0,2.6949819436209777e-08,0.0,-0.03730437126071255,0.015200776154799762,0.00025874521640705005,0.0,0.022991214358863796,-0.0011463644693580552,0.015459521371206812,-0.03730437126071255
233,036170,20191015,0.026588395407750768,per_vol,1,-0.001083652239529995,-4.9264269929391476e-05,0.0,-1.3474909718104888e-05,0.0,2.6949819436209777e-08,0.0,-0.03729628631488169,0.011566485204549129,0.000287770171939848,0.0,0.026588395407750768,-0.0011463644693580552,0.011854255376488978,-0.03729628631488169
235,036170,20191017,0.028686762248692935,per_vol,1,-0.001083652239529995,-0.0008577588530156848,0.0,-1.3474909718104888e-05,0.0,2.6949819436209777e-08,0.0,-0.03718848703713685,0.010621408936560125,-0.000164825095671859,0.0,0.028686762248692935,-0.0019548590524443485,0.010456583840888265,-0.03718848703713685
226,036180,20190408,0.013920454545454545,for_reg_vol,0,0.0,-0.0022726704545454547,0.0,0.0,0.0,0.00011363636363636364,0.0,1.659090909090909e-05,0.013920454545454545,-0.0006039772727272727,0.0,-0.01117403409090909,-0.002159034090909091,0.013316477272727273,1.659090909090909e-05
225,036180,20190704,0.03817721590909091,for_vol,0,0.0,5.6818181818181815e-08,0.0,0.0,0.0,0.0,0.0,0.0050736363636363635,0.03759857954545454,0.0005786363636363636,0.0,-0.04325090909090909,5.6818181818181815e-08,0.03817721590909091,0.0050736363636363635
228,036180,20191204,0.05795823863636364,per_vol,1,0.0,0.0,0.0,0.0,2.346590909090909e-05,0.00019767045454545455,0.0,-0.0694128409090909,0.011664772727272727,-0.0004313068181818182,0.0,0.05795823863636364,0.00022113636363636365,0.011233465909090908,-0.0694128409090909
233,036200,20190117,0.026304852595877903,per_vol,0,0.003945962692408035,-0.013472345421340987,-0.0020462757631098355,-0.0021929950430472217,-0.0011751565353509,0.001964714322984607,-0.0007445538742499348,-0.019662209757370205,0.011282513696843204,-0.0020547873728150273,-0.002149719540829637,0.026304852595877903,-0.015870369162535872,0.009227726324028176,-0.021811929298199844
230,036200,20190314,0.18606271197495433,per_vol,1,-0.0018167884163840333,-0.014704278632924603,-0.004372554135142186,-0.013780002608922514,-0.0017424667362379337,0.0010454278632924601,-0.014738585963996869,-0.006020316984085573,-0.12477504565614402,0.00044387555439603444,-0.0056019762588051135,0.18606271197495433,-0.055711224889120795,-0.12433117010174798,-0.011622293242890686
228,036200,20190410,0.19732803939472998,per_vol,1,-0.001805896164883903,-0.004289101226193582,-0.003527915470910514,-0.009526187059744326,-0.0018219736498825984,0.0012111270545264805,-0.01422704148186799,-0.006102269762588051,-0.15380899426037048,0.0009169384294286459,-0.0043467258022436735,0.19732803939472998,-0.038333713801200105,-0.15289205583094181,-0.010448995564831724
241,036480,20190129,0.04282868421052632,per_vol,1,-0.0027676315789473683,0.0002231578947368421,0.0,0.0016255263157894737,0.0,0.0,0.0,-0.03502921052631579,-0.008401578947368421,0.0015210526315789473,0.0,0.04282868421052632,-0.0009189473684210526,-0.006880526315789474,-0.03502921052631579
234,036480,20190418,0.01330578947368421,per_vol,1,-0.0025326315789473684,0.0003092105263157895,0.0,0.0016255263157894737,0.0,0.0,0.0,-0.023162368421052633,0.008915263157894737,0.0015392105263157894,0.0,0.01330578947368421,-0.0005978947368421053,0.010454473684210526,-0.023162368421052633
243,036480,20190531,0.043285526315789476,per_vol,1,-0.0025326315789473684,0.0007086842105263158,0.0,0.0016255263157894737,0.0,0.0,0.0,-0.020995,-0.022986315789473685,0.0008942105263157894,0.0,0.043285526315789476,-0.00019842105263157895,-0.022092105263157896,-0.020995
